#(dyne/cm2) (K)
Pressure	Temp
9.9992e+07   5.0000e+03
9.4507e+07   5.0000e+03
8.8281e+07   5.0000e+03
8.2350e+07   5.0000e+03
7.6818e+07   5.0000e+03
7.1559e+07   5.0000e+03
6.6645e+07   5.0000e+03
6.1982e+07   5.0000e+03
5.7659e+07   5.0000e+03
5.3551e+07   5.0000e+03
4.9747e+07   5.0000e+03
4.6139e+07   5.0000e+03
4.2792e+07   5.0000e+03
3.9643e+07   5.0000e+03
3.6717e+07   5.0000e+03
3.3968e+07   5.0000e+03
3.1424e+07   5.0000e+03
2.9025e+07   5.0000e+03
2.6821e+07   5.0000e+03
2.4744e+07   5.0000e+03
2.2828e+07   5.0000e+03
2.1036e+07   5.0000e+03
1.9385e+07   5.0000e+03
1.7839e+07   5.0000e+03
1.6420e+07   5.0000e+03
1.5093e+07   5.0000e+03
1.3873e+07   5.0000e+03
1.2737e+07   5.0000e+03
1.1694e+07   5.0000e+03
1.0724e+07   5.0000e+03
9.8348e+06   5.0000e+03
9.0088e+06   5.0000e+03
8.2521e+06   5.0000e+03
7.5503e+06   5.0000e+03
6.9098e+06   5.0000e+03
6.3134e+06   5.0000e+03
5.7712e+06   5.0000e+03
5.2694e+06   5.0000e+03
4.8124e+06   5.0000e+03
4.3866e+06   4.9778e+03
3.9989e+06   4.9528e+03
3.6433e+06   4.9500e+03
3.3190e+06   4.9500e+03
3.0179e+06   4.9500e+03
2.7447e+06   4.9500e+03
2.4946e+06   4.9500e+03
2.2673e+06   4.9500e+03
2.0578e+06   4.9500e+03
1.8681e+06   4.9500e+03
1.6947e+06   4.9500e+03
1.5378e+06   4.9500e+03
1.3948e+06   4.9500e+03
1.2650e+06   4.9500e+03
1.1466e+06   4.9500e+03
1.0394e+06   4.9500e+03
9.4124e+05   4.9500e+03
8.5251e+05   4.9500e+03
7.7162e+05   4.9500e+03
6.9839e+05   4.9500e+03
6.3154e+05   4.9500e+03
5.7109e+05   4.9500e+03
5.1618e+05   4.9500e+03
4.6655e+05   4.9500e+03
4.2141e+05   4.9500e+03
3.8063e+05   4.9500e+03
3.4356e+05   4.9500e+03
