#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
99        	2         	ok              	4.9120000000e-05	5.2365000000e+03	6.7941290780e+13	6.7941249114e+13	1.2847736715e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	2         	ok              	4.1440000000e-05	5.3068000000e+03	5.6559231152e+13	5.6559205892e+13	1.2847734574e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	1         	ok              	3.4960000000e-05	5.3347000000e+03	4.7465477457e+13	4.7465460565e+13	1.2847733408e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	1         	ok              	2.9500000000e-05	5.3246000000e+03	4.0128362517e+13	4.0128350216e+13	1.2847732774e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	1         	ok              	2.4890000000e-05	5.3009000000e+03	3.4008829121e+13	3.4008819887e+13	1.2847732324e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	1         	ok              	2.1000000000e-05	5.2759000000e+03	2.8829633485e+13	2.8829626529e+13	1.2847731936e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	1         	ok              	1.7710000000e-05	5.2716000000e+03	2.4332821934e+13	2.4332816938e+13	1.2847731474e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	1         	ok              	1.4950000000e-05	5.2883000000e+03	2.0475827306e+13	2.0475823878e+13	1.2847730987e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	1         	ok              	1.2610000000e-05	5.3152000000e+03	1.7183507261e+13	1.7183504966e+13	1.2847730552e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	1         	ok              	1.0640000000e-05	5.3432000000e+03	1.4423030459e+13	1.4423028924e+13	1.2847730204e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	1         	ok              	8.9750000000e-06	5.3750000000e+03	1.2094065105e+13	1.2094064086e+13	1.2847729918e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	1         	ok              	7.5720000000e-06	5.3937000000e+03	1.0168107401e+13	1.0168106705e+13	1.2847729716e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	1         	ok              	6.3880000000e-06	5.3980000000e+03	8.5713322324e+12	8.5713317414e+12	1.2847729572e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	1         	ok              	5.3890000000e-06	5.3876000000e+03	7.2448456562e+12	7.2448452987e+12	1.2847729470e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	1         	ok              	4.5470000000e-06	5.3631000000e+03	6.1408056871e+12	6.1408054187e+12	1.2847729398e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	1         	ok              	3.8360000000e-06	5.3339000000e+03	5.2089480142e+12	5.2089478104e+12	1.2847729338e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	1         	ok              	3.2360000000e-06	5.3046000000e+03	4.4184725793e+12	4.4184724245e+12	1.2847729286e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	1         	ok              	2.7300000000e-06	5.2858000000e+03	3.7408320530e+12	3.7408319381e+12	1.2847729231e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	1         	ok              	2.3040000000e-06	5.2790000000e+03	3.1611645361e+12	3.1611644530e+12	1.2847729174e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	1         	ok              	1.9440000000e-06	5.2693000000e+03	2.6721425473e+12	2.6721424868e+12	1.2847729127e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	1         	ok              	1.6400000000e-06	5.2557000000e+03	2.2601099444e+12	2.2601099000e+12	1.2847729089e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120       	1         	ok              	1.3830000000e-06	5.2408000000e+03	1.9113528922e+12	1.9113528595e+12	1.2847729056e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
121       	1         	ok              	1.1670000000e-06	5.2273000000e+03	1.6169988611e+12	1.6169988371e+12	1.2847729027e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
122       	1         	ok              	9.8470000000e-07	5.2006000000e+03	1.3714082855e+12	1.3714082673e+12	1.2847729007e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
123       	1         	ok              	8.3070000000e-07	5.1965000000e+03	1.1578426969e+12	1.1578426838e+12	1.2847728981e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
124       	1         	ok              	7.0090000000e-07	5.2145000000e+03	9.7355315630e+11	9.7355314737e+11	1.2847728954e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
125       	1         	ok              	5.9130000000e-07	5.2469000000e+03	8.1624657498e+11	8.1624656909e+11	1.2847728929e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
126       	1         	ok              	4.9890000000e-07	5.2885000000e+03	6.8327774349e+11	6.8327773968e+11	1.2847728908e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
127       	1         	ok              	4.2090000000e-07	5.3359000000e+03	5.7133064936e+11	5.7133064692e+11	1.2847728891e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
128       	1         	ok              	3.5510000000e-07	5.3894000000e+03	4.7722867676e+11	4.7722867522e+11	1.2847728878e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
129       	1         	ok              	2.9960000000e-07	5.4478000000e+03	3.9832441930e+11	3.9832441833e+11	1.2847728867e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
130       	1         	ok              	2.5270000000e-07	5.5142000000e+03	3.3192426767e+11	3.3192426707e+11	1.2847728859e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
131       	1         	ok              	2.1320000000e-07	5.5850000000e+03	2.7649055510e+11	2.7649055473e+11	1.2847728853e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
132       	1         	ok              	1.7990000000e-07	5.6473000000e+03	2.3073133637e+11	2.3073133614e+11	1.2847728849e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
133       	1         	ok              	1.5180000000e-07	5.6911000000e+03	1.9319319821e+11	1.9319319805e+11	1.2847728846e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
134       	1         	ok              	1.2810000000e-07	5.7456000000e+03	1.6148419362e+11	1.6148419352e+11	1.2847728844e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
135       	1         	ok              	1.0800000000e-07	5.7996000000e+03	1.3487827141e+11	1.3487827135e+11	1.2847728842e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
136       	1         	ok              	9.1140000000e-08	5.8405000000e+03	1.1302519711e+11	1.1302519706e+11	1.2847728841e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
137       	1         	ok              	7.6900000000e-08	5.8697000000e+03	9.4891368904e+10	9.4891368876e+10	1.2847728840e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
138       	1         	ok              	6.4880000000e-08	5.8896000000e+03	7.9788686954e+10	7.9788686935e+10	1.2847728839e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
139       	1         	ok              	5.4730000000e-08	5.9025000000e+03	6.7159233284e+10	6.7159233271e+10	1.2847728839e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
140       	1         	ok              	4.6180000000e-08	5.9049000000e+03	5.6644488360e+10	5.6644488351e+10	1.2847728838e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
141       	1         	ok              	3.8960000000e-08	5.9034000000e+03	4.7800563269e+10	4.7800563263e+10	1.2847728838e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
142       	1         	ok              	3.2870000000e-08	5.8957000000e+03	4.0381328676e+10	4.0381328672e+10	1.2847728838e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
143       	1         	ok              	2.7730000000e-08	5.8821000000e+03	3.4145520948e+10	3.4145520944e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
144       	1         	ok              	2.3400000000e-08	5.8679000000e+03	2.8883474195e+10	2.8883474193e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
145       	1         	ok              	1.9740000000e-08	5.8537000000e+03	2.4424909547e+10	2.4424909546e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
146       	1         	ok              	1.6650000000e-08	5.8456000000e+03	2.0630104149e+10	2.0630104148e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
147       	1         	ok              	1.4050000000e-08	5.8708000000e+03	1.7333861240e+10	1.7333861239e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
148       	1         	ok              	1.1850000000e-08	5.7443000000e+03	1.4941614050e+10	1.4941614049e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
149       	1         	ok              	1.0000000000e-08	5.6303000000e+03	1.2864257983e+10	1.2864257982e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
